Airport,Domestic Total,International Total,All Total
ADELAIDE,563041,91570,654611
BALLINA,40648,0,40648
BRISBANE,1417479,545210,1962689
CAIRNS,337739,53010,390749
CANBERRA,223954,2765,226719
DARWIN,158043,25503,183546
GOLD COAST,403690,51943,455633
HAMILTON ISLAND,33400,0,33400
HOBART,202477,0,202477
KARRATHA,59840,0,59840
LAUNCESTON,101133,0,101133
MACKAY,78639,0,78639
MELBOURNE,1840457,938248,2778705
NEWCASTLE,94883,0,94883
PERTH,719692,429969,1149661
PROSERPINE,42458,0,42458
ROCKHAMPTON,54804,0,54804
SUNSHINE COAST,125734,4089,129823
SYDNEY,1919624,1298470,3218094
TOWNSVILLE,139303,0,139303
All Australian Airports,9318596,3442278,12760874
